area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender,area
Kapurbawdi,open area,3am-6am,heavy rain,"trucks ,tempos,tracto",>10,skiding,neglect of civic bodies,15-17years,not known,passed on curve,30-50,speed breaker,3 Lanes or more without central Divider Median,v junction,police controlled,paid driver,male,Kapurbawdi
Majiwada,near a recreation place/cinema,12am-3am,fine,2 wheeler,8-10year,head on collision,defect in condition of motor vehicle,45-54years,above 10th std,failed to give signal,<30,muddy/oily/slippery,4 Lanes or more with central divider,staggered jucntion,traffic light signal,owner of private vehicle,female,Majiwada
Vartak Nagar,narrow bridge or culverts,12pm-3pm,cloudy,"trucks ,tempos,tracto",6-8year,collision brush/side swip,fault of driver,unknown age,upto 8th std,other improper passsing,30-50,straight road,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,without licence,male,Vartak Nagar
Hiranandani Estate,near bus stop,9am-12pm,fine,"trucks ,tempos,tracto",>10,overturning,poor light,10-14years,above 10th std,other improper passsing,>70,straight road,two lane,manned rail crossing,uncontolled,paid driver,female,Hiranandani Estate
Hiranandani Estate,near office complex,6pm-9pm,light rain,2 wheeler,2-4year,rear end collision,weather condition,25-34years,above 10th std,cut in sharply after passing,30-50,speed breaker,3 Lanes or more without central Divider Median,t junction,traffic light signal,owner of private vehicle,male,Hiranandani Estate
Majiwada,near a factory or indu. Area,3pm-6pm,heavy rain,3 wheeler,4-6year,head on collision,defect in road condition,25-34years,above 10th std,give improper signal,<30,Wet road,single lane,manned rail crossing,flashing signal/blinker,others,female,Majiwada
Vartak Nagar,near school/college,9pm-12am,fine,2 wheeler,4-6year,rear end collision,fault of driver,21-24years,not known,passed on curve,<30,straight road,4 Lanes or more with central divider,manned rail crossing,stop sign,without licence,female,Vartak Nagar
Hiranandani Estate,at pedestrian crossing,6am-9am,fine,2 wheeler,8-10year,head on collision,fault of driver,25-34years,above 10th std,failed to give signal,50-70,Surfaced Roads,4 Lanes or more with central divider,t junction,uncontolled,owner of public commercial vehicle,female,Hiranandani Estate
Vartak Nagar,near a recreation place/cinema,3pm-6pm,cloudy,"trucks ,tempos,tracto",1-2year,skiding,fault of pedestrian,65 and above,above 10th std,on wrong side of the road,<30,rutted/pot holes,3 Lanes or more without central Divider Median,unmanned rail crossing,stop sign,regular licence,female,Vartak Nagar
Vartak Nagar,near a factory or indu. Area,3pm-6pm,fine,2 wheeler,6-8year,hit and run,defect in condition of motor vehicle,<5years,upto 8th std,passed on curve,<30,Kutcha Roads,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,owner of public commercial vehicle,male,Vartak Nagar
Kapurbawdi,near school/college,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,collision brush/side swip,defect in condition of motor vehicle,65 and above,9-10std,passed on curve,50-70,Kutcha Roads,two lane,t junction,stop sign,without licence,male,Kapurbawdi
Hiranandani Estate,near school/college,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,overturning,poor light,35-44years,9-10std,passed on curve,<30,rutted/pot holes,single lane,t junction,stop sign,without licence,female,Hiranandani Estate
Hiranandani Estate,near school/college,3pm-6pm,cloudy,other motor vehicles,6-8year,rear end collision,defect in condition of motor vehicle,25-34years,not known,cut in sharply after passing,>70,Surfaced Roads,single lane,round about junction,police controlled,owner of private vehicle,male,Hiranandani Estate
Kapurbawdi,near a religious place,9pm-12am,cloudy,3 wheeler,6-8year,skiding,poor light,55-64years,9-10std,passed on curve,30-50,muddy/oily/slippery,4 Lanes or more with central divider,t junction,police controlled,regular licence,male,Kapurbawdi
Kapurbawdi,open area,12pm-3pm,light rain,2 wheeler,8-10year,rear end collision,poor light,65 and above,above 10th std,did not give right of way to pedestrian,<30,muddy/oily/slippery,single lane,round about junction,flashing signal/blinker,without licence,male,Kapurbawdi
Hiranandani Estate,near office complex,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",<1,hit and run,poor light,25-34years,9-10std,failed to give signal,<30,Surfaced Roads,4 Lanes or more with central divider,four arm junction,police controlled,without licence,male,Hiranandani Estate
Kapurbawdi,near or inside a village,12pm-3pm,light rain,"trucks ,tempos,tracto",<1,skiding,poor light,18-20years,above 10th std,passed on hill,<30,muddy/oily/slippery,single lane,junction with >4 arms,traffic light signal,owner of private vehicle,male,Kapurbawdi
Vartak Nagar,near school/college,3pm-6pm,cloudy,other motor vehicles,4-6year,rear end collision,defect in road condition,35-44years,upto 8th std,did not give right of way to vehicle,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,round about junction,traffic light signal,learners licence,male,Vartak Nagar
Kapurbawdi,near a factory or indu. Area,3am-6am,heavy rain,"trucks ,tempos,tracto",6-8year,skiding,poor light,15-17years,upto 8th std,passed on hill,50-70,Kutcha Roads,two lane,t junction,traffic light signal,owner of private vehicle,male,Kapurbawdi
Hiranandani Estate,near office complex,6pm-9pm,light rain,3 wheeler,>10,hit and run,weather condition,35-44years,upto 8th std,excceding lawful speed,50-70,speed breaker,single lane,round about junction,stop sign,owner of public commercial vehicle,male,Hiranandani Estate
Vartak Nagar,open area,3pm-6pm,fine,other motor vehicles,8-10year,right turn collision,defect in condition of motor vehicle,65 and above,9-10std,failed to give signal,>70,incline road,two lane,t junction,uncontolled,without licence,male,Vartak Nagar
Majiwada,near office complex,6pm-9pm,light rain,2 wheeler,1-2year,collision brush/side swip,fault of driver,6-9years,upto 8th std,passed on hill,50-70,road under construction/repair,4 Lanes or more with central divider,t junction,flashing signal/blinker,learners licence,female,Majiwada
Hiranandani Estate,narrow bridge or culverts,6am-9am,cloudy,other motor vehicles,<1,right turn collision,weather condition,25-34years,9-10std,give improper signal,30-50,Surfaced Roads,single lane,round about junction,flashing signal/blinker,regular licence,female,Hiranandani Estate
Majiwada,near school/college,6pm-9pm,light rain,other motor vehicles,6-8year,right turn collision,defect in condition of motor vehicle,55-64years,above 10th std,followed too closely,30-50,speed breaker,4 Lanes or more with central divider,staggered jucntion,flashing signal/blinker,others,male,Majiwada
Majiwada,residential area,12pm-3pm,light rain,2 wheeler,6-8year,hit and run,weather condition,unknown age,above 10th std,failed to give signal,50-70,road under construction/repair,3 Lanes or more without central Divider Median,t junction,uncontolled,regular licence,male,Majiwada
Kapurbawdi,near hospital,3pm-6pm,light rain,3 wheeler,1-2year,skiding,poor light,10-14years,above 10th std,other improper passsing,<30,Surfaced Roads,single lane,v junction,traffic light signal,others,female,Kapurbawdi
Majiwada,near office complex,12am-3am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",>10,head on collision,fault of driver,unknown age,9-10std,on wrong side of the road,30-50,Kutcha Roads,two lane,v junction,stop sign,owner of private vehicle,female,Majiwada
Majiwada,near bus stop,9am-12pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,overturning,neglect of civic bodies,6-9years,9-10std,did not give right of way to pedestrian,>70,Kutcha Roads,single lane,unmanned rail crossing,stop sign,owner of private vehicle,female,Majiwada
Majiwada,near bus stop,12pm-3pm,heavy rain,other motor vehicles,>10,collision brush/side swip,fault of pedestrian,35-44years,9-10std,passed on curve,>70,incline road,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,learners licence,male,Majiwada
Vartak Nagar,residential area,12am-3am,light rain,"trucks ,tempos,tracto",6-8year,overturning,neglect of civic bodies,55-64years,not known,did not give right of way to pedestrian,>70,road under construction/repair,4 Lanes or more with central divider,junction with >4 arms,traffic light signal,without licence,male,Vartak Nagar
Hiranandani Estate,residential area,6pm-9pm,fine,2 wheeler,>10,overturning,neglect of civic bodies,65 and above,upto 8th std,did not give right of way to vehicle,>70,incline road,4 Lanes or more with central divider,staggered jucntion,uncontolled,owner of private vehicle,male,Hiranandani Estate
Hiranandani Estate,in bazar,3am-6am,light rain,"trucks ,tempos,tracto",1-2year,collision brush/side swip,defect in condition of motor vehicle,55-64years,above 10th std,excceding lawful speed,30-50,speed breaker,single lane,v junction,uncontolled,without licence,male,Hiranandani Estate
Majiwada,near a recreation place/cinema,3pm-6pm,cloudy,2 wheeler,1-2year,overturning,defect in condition of motor vehicle,<5years,above 10th std,did not give right of way to vehicle,50-70,speed breaker,single lane,four arm junction,uncontolled,owner of public commercial vehicle,male,Majiwada
Hiranandani Estate,open area,6pm-9pm,light rain,"trucks ,tempos,tracto",<1,hit and run,defect in condition of motor vehicle,15-17years,not known,give improper signal,50-70,straight road,3 Lanes or more without central Divider Median,unmanned rail crossing,police controlled,regular licence,female,Hiranandani Estate
Kapurbawdi,open area,9pm-12am,cloudy,2 wheeler,<1,collision brush/side swip,neglect of civic bodies,45-54years,upto 8th std,passed on hill,30-50,road under construction/repair,4 Lanes or more with central divider,manned rail crossing,uncontolled,owner of public commercial vehicle,male,Kapurbawdi
Majiwada,near a religious place,3am-6am,fine,"trucks ,tempos,tracto",8-10year,rear end collision,weather condition,21-24years,above 10th std,did not give right of way to vehicle,>70,rutted/pot holes,4 Lanes or more with central divider,junction with >4 arms,traffic light signal,paid driver,female,Majiwada
Hiranandani Estate,near or inside a village,3am-6am,heavy rain,"trucks ,tempos,tracto",4-6year,hit and run,defect in condition of motor vehicle,<5years,not known,passed on hill,>70,Kutcha Roads,two lane,staggered jucntion,stop sign,without licence,female,Hiranandani Estate
Majiwada,open area,3pm-6pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,right turn collision,poor light,18-20years,not known,followed too closely,<30,straight road,3 Lanes or more without central Divider Median,staggered jucntion,stop sign,owner of public commercial vehicle,female,Majiwada
Vartak Nagar,near a religious place,12am-3am,fine,other motor vehicles,<1,hit and run,poor light,10-14years,not known,other improper passsing,>70,speed breaker,3 Lanes or more without central Divider Median,t junction,police controlled,owner of public commercial vehicle,female,Vartak Nagar
Kapurbawdi,near hospital,9pm-12am,fine,other motor vehicles,>10,hit and run,fault of driver,45-54years,9-10std,on wrong side of the road,30-50,speed breaker,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,owner of public commercial vehicle,female,Kapurbawdi
Kapurbawdi,near hospital,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,hit and run,defect in road condition,45-54years,9-10std,excceding lawful speed,50-70,Kutcha Roads,3 Lanes or more without central Divider Median,manned rail crossing,flashing signal/blinker,owner of public commercial vehicle,female,Kapurbawdi
Vartak Nagar,near a recreation place/cinema,12am-3am,light rain,other motor vehicles,6-8year,hit and run,defect in condition of motor vehicle,10-14years,not known,alcohol intake,30-50,incline road,single lane,t junction,flashing signal/blinker,learners licence,female,Vartak Nagar
Majiwada,near a religious place,3am-6am,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,hit and run,weather condition,10-14years,not known,give improper signal,<30,Surfaced Roads,two lane,staggered jucntion,police controlled,owner of public commercial vehicle,female,Majiwada
Kapurbawdi,near a recreation place/cinema,9pm-12am,heavy rain,other motor vehicles,6-8year,collision brush/side swip,defect in road condition,45-54years,not known,passed on hill,<30,Wet road,4 Lanes or more with central divider,v junction,flashing signal/blinker,owner of public commercial vehicle,male,Kapurbawdi
Kapurbawdi,near petrol pump,6pm-9pm,light rain,2 wheeler,1-2year,hit and run,defect in condition of motor vehicle,45-54years,9-10std,on wrong side of the road,<30,Kutcha Roads,single lane,v junction,uncontolled,without licence,female,Kapurbawdi
Hiranandani Estate,near school/college,12am-3am,light rain,"trucks ,tempos,tracto",4-6year,rear end collision,defect in condition of motor vehicle,<5years,not known,cut in sharply after passing,50-70,Wet road,4 Lanes or more with central divider,unmanned rail crossing,police controlled,others,female,Hiranandani Estate
Kapurbawdi,near a religious place,3pm-6pm,light rain,"trucks ,tempos,tracto",>10,right turn collision,neglect of civic bodies,unknown age,9-10std,on wrong side of the road,50-70,Kutcha Roads,4 Lanes or more with central divider,v junction,police controlled,regular licence,male,Kapurbawdi
Majiwada,open area,3am-6am,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,hit and run,defect in road condition,25-34years,9-10std,on wrong side of the road,<30,Wet road,two lane,t junction,traffic light signal,paid driver,male,Majiwada
Vartak Nagar,near or inside a village,12am-3am,cloudy,other motor vehicles,<1,collision brush/side swip,defect in road condition,<5years,above 10th std,on wrong side of the road,<30,Wet road,single lane,four arm junction,uncontolled,learners licence,male,Vartak Nagar
Majiwada,near a factory or indu. Area,6pm-9pm,fine,2 wheeler,<1,hit and run,weather condition,35-44years,above 10th std,on wrong side of the road,<30,rutted/pot holes,4 Lanes or more with central divider,unmanned rail crossing,traffic light signal,owner of public commercial vehicle,male,Majiwada
Kapurbawdi,narrow bridge or culverts,9pm-12am,light rain,"trucks ,tempos,tracto",2-4year,hit and run,fault of pedestrian,35-44years,above 10th std,did not give right of way to vehicle,30-50,Surfaced Roads,4 Lanes or more with central divider,junction with >4 arms,police controlled,owner of public commercial vehicle,female,Kapurbawdi
Kapurbawdi,near a recreation place/cinema,12am-3am,cloudy,other motor vehicles,1-2year,rear end collision,poor light,6-9years,above 10th std,on wrong side of the road,<30,muddy/oily/slippery,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,without licence,male,Kapurbawdi
Vartak Nagar,near school/college,12am-3am,cloudy,2 wheeler,4-6year,rear end collision,fault of driver,55-64years,not known,give improper signal,<30,road under construction/repair,two lane,four arm junction,flashing signal/blinker,regular licence,male,Vartak Nagar
Kapurbawdi,at pedestrian crossing,6pm-9pm,fine,2 wheeler,8-10year,rear end collision,fault of pedestrian,35-44years,upto 8th std,failed to give signal,50-70,rutted/pot holes,3 Lanes or more without central Divider Median,junction with >4 arms,traffic light signal,regular licence,male,Kapurbawdi
Teen Hath Naka,near hospital,12pm-3pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",>10,skiding,defect in road condition,15-17years,upto 8th std,passed on curve,30-50,muddy/oily/slippery,two lane,staggered jucntion,stop sign,without licence,female,Teen Hath Naka
Talav Pali,near petrol pump,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,head on collision,poor light,<5years,upto 8th std,failed to give signal,<30,muddy/oily/slippery,two lane,t junction,traffic light signal,without licence,male,Talav Pali
Manpada,near office complex,6am-9am,fine,3 wheeler,6-8year,rear end collision,poor light,10-14years,not known,passed on hill,<30,Kutcha Roads,single lane,four arm junction,stop sign,regular licence,female,Manpada
Vasant Vihar,near a religious place,3am-6am,light rain,"trucks ,tempos,tracto",6-8year,hit and run,fault of pedestrian,unknown age,above 10th std,excceding lawful speed,50-70,Wet road,4 Lanes or more with central divider,staggered jucntion,stop sign,owner of private vehicle,male,Vasant Vihar
Dhokali,near school/college,6pm-9pm,heavy rain,3 wheeler,6-8year,head on collision,defect in road condition,unknown age,above 10th std,give improper signal,<30,speed breaker,4 Lanes or more with central divider,v junction,police controlled,without licence,male,Dhokali
Eastern Express Highway,near a recreation place/cinema,12pm-3pm,light rain,"trucks ,tempos,tracto",8-10year,collision brush/side swip,poor light,55-64years,9-10std,excceding lawful speed,30-50,incline road,two lane,four arm junction,uncontolled,learners licence,male,Eastern Express Highway
Talav Pali,near school/college,9am-12pm,light rain,3 wheeler,1-2year,rear end collision,poor light,6-9years,upto 8th std,followed too closely,<30,speed breaker,two lane,v junction,stop sign,others,male,Talav Pali
Ghodbander,narrow bridge or culverts,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,overturning,poor light,35-44years,upto 8th std,did not give right of way to pedestrian,>70,muddy/oily/slippery,4 Lanes or more with central divider,staggered jucntion,traffic light signal,owner of private vehicle,female,Ghodbander
Eastern Express Highway,near bus stop,3pm-6pm,heavy rain,other motor vehicles,8-10year,collision brush/side swip,defect in condition of motor vehicle,15-17years,upto 8th std,passed on curve,50-70,rutted/pot holes,3 Lanes or more without central Divider Median,v junction,traffic light signal,owner of public commercial vehicle,male,Eastern Express Highway
Vartak Nagar,residential area,9am-12pm,fine,other motor vehicles,4-6year,collision brush/side swip,fault of pedestrian,unknown age,not known,passed on curve,50-70,straight road,two lane,unmanned rail crossing,traffic light signal,owner of public commercial vehicle,male,Vartak Nagar
Kapurbawdi,near hospital,9am-12pm,heavy rain,2 wheeler,8-10year,overturning,fault of driver,<5years,upto 8th std,on wrong side of the road,<30,Kutcha Roads,two lane,staggered jucntion,uncontolled,others,female,Kapurbawdi
Majiwada,in bazar,3am-6am,fine,3 wheeler,8-10year,rear end collision,weather condition,21-24years,upto 8th std,give improper signal,<30,Surfaced Roads,single lane,t junction,police controlled,owner of private vehicle,female,Majiwada
Manpada,in bazar,12pm-3pm,heavy rain,"trucks ,tempos,tracto",<1,rear end collision,defect in road condition,18-20years,above 10th std,other improper passsing,30-50,Wet road,4 Lanes or more with central divider,t junction,stop sign,paid driver,female,Manpada
Teen Hath Naka,near a recreation place/cinema,9am-12pm,heavy rain,3 wheeler,8-10year,rear end collision,defect in road condition,6-9years,9-10std,did not give right of way to vehicle,30-50,rutted/pot holes,4 Lanes or more with central divider,staggered jucntion,stop sign,owner of private vehicle,male,Teen Hath Naka
Dhokali,near hospital,9am-12pm,fine,2 wheeler,6-8year,overturning,fault of pedestrian,10-14years,above 10th std,failed to give signal,50-70,rutted/pot holes,single lane,unmanned rail crossing,traffic light signal,without licence,male,Dhokali
Majiwada,residential area,3am-6am,cloudy,2 wheeler,2-4year,rear end collision,fault of driver,25-34years,above 10th std,cut in sharply after passing,>70,Kutcha Roads,3 Lanes or more without central Divider Median,junction with >4 arms,flashing signal/blinker,paid driver,male,Majiwada
Kolshet Road,narrow bridge or culverts,12am-3am,cloudy,"trucks ,tempos,tracto",2-4year,collision brush/side swip,weather condition,55-64years,9-10std,on wrong side of the road,<30,Kutcha Roads,single lane,t junction,flashing signal/blinker,without licence,male,Kolshet Road
Majiwada,near petrol pump,6pm-9pm,cloudy,3 wheeler,1-2year,overturning,weather condition,10-14years,9-10std,alcohol intake,50-70,speed breaker,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,paid driver,male,Majiwada
Eastern Express Highway,at pedestrian crossing,6am-9am,heavy rain,"trucks ,tempos,tracto",1-2year,overturning,weather condition,10-14years,not known,failed to give signal,50-70,straight road,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,learners licence,male,Eastern Express Highway
Kopri,near or inside a village,6am-9am,light rain,other motor vehicles,4-6year,head on collision,neglect of civic bodies,unknown age,above 10th std,cut in sharply after passing,>70,road under construction/repair,two lane,junction with >4 arms,stop sign,owner of public commercial vehicle,male,Kopri
Teen Hath Naka,residential area,3am-6am,light rain,2 wheeler,4-6year,rear end collision,neglect of civic bodies,25-34years,9-10std,cut in sharply after passing,30-50,road under construction/repair,4 Lanes or more with central divider,t junction,flashing signal/blinker,learners licence,female,Teen Hath Naka
Vasant Vihar,near school/college,9am-12pm,fine,other motor vehicles,1-2year,collision brush/side swip,weather condition,21-24years,upto 8th std,did not give right of way to vehicle,50-70,incline road,3 Lanes or more without central Divider Median,unmanned rail crossing,stop sign,without licence,male,Vasant Vihar
Kapurbawdi,near or inside a village,3pm-6pm,cloudy,"trucks ,tempos,tracto",4-6year,rear end collision,poor light,15-17years,above 10th std,passed on hill,50-70,muddy/oily/slippery,3 Lanes or more without central Divider Median,v junction,uncontolled,owner of private vehicle,female,Kapurbawdi
Kolshet Road,near a recreation place/cinema,12pm-3pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,right turn collision,poor light,55-64years,upto 8th std,failed to give signal,50-70,straight road,single lane,four arm junction,police controlled,paid driver,male,Kolshet Road
Vasant Vihar,near a religious place,9pm-12am,light rain,3 wheeler,1-2year,skiding,defect in condition of motor vehicle,45-54years,above 10th std,failed to give signal,30-50,Wet road,two lane,four arm junction,stop sign,paid driver,female,Vasant Vihar
Kopri,near a recreation place/cinema,3am-6am,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,skiding,weather condition,unknown age,not known,give improper signal,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,four arm junction,police controlled,without licence,female,Kopri
Vartak Nagar,at pedestrian crossing,9pm-12am,fine,3 wheeler,1-2year,head on collision,weather condition,6-9years,9-10std,did not give right of way to vehicle,>70,incline road,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,without licence,male,Vartak Nagar
Vasant Vihar,at pedestrian crossing,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,defect in condition of motor vehicle,15-17years,not known,did not give right of way to vehicle,<30,road under construction/repair,4 Lanes or more with central divider,staggered jucntion,stop sign,owner of private vehicle,female,Vasant Vihar
Dhokali,near school/college,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,hit and run,fault of driver,45-54years,above 10th std,other improper passsing,>70,Wet road,two lane,staggered jucntion,flashing signal/blinker,owner of private vehicle,female,Dhokali
Ghodbander,at pedestrian crossing,6pm-9pm,cloudy,"trucks ,tempos,tracto",6-8year,rear end collision,fault of driver,<5years,upto 8th std,passed on hill,30-50,straight road,3 Lanes or more without central Divider Median,round about junction,traffic light signal,owner of public commercial vehicle,female,Ghodbander
Kolshet Road,near petrol pump,6am-9am,fine,"trucks ,tempos,tracto",2-4year,overturning,poor light,<5years,upto 8th std,cut in sharply after passing,>70,Kutcha Roads,single lane,manned rail crossing,uncontolled,paid driver,male,Kolshet Road
Panchpakhadi,near petrol pump,3am-6am,cloudy,3 wheeler,>10,right turn collision,fault of pedestrian,45-54years,upto 8th std,failed to give signal,>70,Wet road,single lane,four arm junction,police controlled,owner of private vehicle,male,Panchpakhadi
Eastern Express Highway,residential area,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,rear end collision,defect in condition of motor vehicle,35-44years,upto 8th std,followed too closely,<30,speed breaker,3 Lanes or more without central Divider Median,t junction,uncontolled,without licence,female,Eastern Express Highway
Dhokali,in bazar,3am-6am,fine,2 wheeler,8-10year,hit and run,defect in road condition,15-17years,upto 8th std,followed too closely,<30,speed breaker,single lane,t junction,uncontolled,owner of private vehicle,female,Dhokali
Manpada,near petrol pump,12pm-3pm,light rain,3 wheeler,>10,overturning,weather condition,55-64years,above 10th std,passed on hill,>70,speed breaker,3 Lanes or more without central Divider Median,junction with >4 arms,traffic light signal,paid driver,male,Manpada
Kopri,near hospital,12pm-3pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,head on collision,weather condition,21-24years,above 10th std,other improper passsing,50-70,muddy/oily/slippery,4 Lanes or more with central divider,manned rail crossing,police controlled,regular licence,female,Kopri
Hiranandani Estate,residential area,12am-3am,heavy rain,"trucks ,tempos,tracto",2-4year,hit and run,neglect of civic bodies,<5years,upto 8th std,failed to give signal,30-50,Surfaced Roads,4 Lanes or more with central divider,unmanned rail crossing,uncontolled,paid driver,male,Hiranandani Estate
Hiranandani Estate,near a religious place,12pm-3pm,light rain,other motor vehicles,1-2year,rear end collision,neglect of civic bodies,45-54years,above 10th std,alcohol intake,30-50,Wet road,single lane,staggered jucntion,flashing signal/blinker,others,female,Hiranandani Estate
Dhokali,near hospital,6am-9am,light rain,other motor vehicles,8-10year,rear end collision,defect in road condition,unknown age,9-10std,other improper passsing,<30,road under construction/repair,two lane,unmanned rail crossing,police controlled,owner of public commercial vehicle,male,Dhokali
Hiranandani Estate,near a religious place,3am-6am,light rain,other motor vehicles,<1,skiding,defect in road condition,35-44years,not known,did not give right of way to vehicle,<30,speed breaker,3 Lanes or more without central Divider Median,v junction,police controlled,others,female,Hiranandani Estate
Eastern Express Highway,near a recreation place/cinema,9am-12pm,heavy rain,"trucks ,tempos,tracto",<1,right turn collision,fault of pedestrian,15-17years,9-10std,give improper signal,<30,Kutcha Roads,4 Lanes or more with central divider,round about junction,flashing signal/blinker,owner of public commercial vehicle,female,Eastern Express Highway
Eastern Express Highway,near hospital,3pm-6pm,fine,3 wheeler,6-8year,right turn collision,weather condition,18-20years,above 10th std,followed too closely,50-70,muddy/oily/slippery,single lane,round about junction,uncontolled,owner of private vehicle,female,Eastern Express Highway
Vasant Vihar,near a religious place,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,defect in road condition,65 and above,9-10std,did not give right of way to pedestrian,<30,road under construction/repair,two lane,unmanned rail crossing,stop sign,regular licence,male,Vasant Vihar
Teen Hath Naka,near bus stop,9am-12pm,heavy rain,other motor vehicles,2-4year,right turn collision,poor light,45-54years,above 10th std,on wrong side of the road,>70,Kutcha Roads,single lane,v junction,uncontolled,learners licence,female,Teen Hath Naka
Kolshet Road,in bazar,12am-3am,cloudy,"trucks ,tempos,tracto",6-8year,right turn collision,defect in road condition,unknown age,not known,followed too closely,50-70,Surfaced Roads,single lane,t junction,flashing signal/blinker,without licence,female,Kolshet Road
Eastern Express Highway,near a recreation place/cinema,6pm-9pm,cloudy,"trucks ,tempos,tracto",4-6year,skiding,neglect of civic bodies,15-17years,upto 8th std,did not give right of way to vehicle,50-70,muddy/oily/slippery,3 Lanes or more without central Divider Median,round about junction,flashing signal/blinker,owner of public commercial vehicle,male,Eastern Express Highway
Kopri,near a recreation place/cinema,3pm-6pm,light rain,2 wheeler,8-10year,head on collision,neglect of civic bodies,35-44years,not known,passed on hill,50-70,Kutcha Roads,single lane,t junction,police controlled,paid driver,female,Kopri
Ghodbander,near a factory or indu. Area,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",<1,overturning,poor light,45-54years,9-10std,give improper signal,<30,speed breaker,3 Lanes or more without central Divider Median,staggered jucntion,police controlled,owner of public commercial vehicle,female,Ghodbander
Kolshet Road,near or inside a village,12pm-3pm,heavy rain,2 wheeler,6-8year,hit and run,fault of pedestrian,15-17years,above 10th std,on wrong side of the road,<30,straight road,single lane,staggered jucntion,flashing signal/blinker,owner of public commercial vehicle,male,Kolshet Road
Kopri,at pedestrian crossing,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,fault of pedestrian,6-9years,not known,cut in sharply after passing,<30,speed breaker,4 Lanes or more with central divider,v junction,stop sign,learners licence,female,Kopri
Dhokali,near petrol pump,9pm-12am,heavy rain,other motor vehicles,8-10year,head on collision,fault of driver,65 and above,upto 8th std,did not give right of way to pedestrian,50-70,rutted/pot holes,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,regular licence,male,Dhokali
Panchpakhadi,near or inside a village,12am-3am,fine,other motor vehicles,6-8year,hit and run,neglect of civic bodies,55-64years,above 10th std,did not give right of way to pedestrian,>70,rutted/pot holes,4 Lanes or more with central divider,v junction,flashing signal/blinker,owner of public commercial vehicle,female,Panchpakhadi
Teen Hath Naka,near office complex,3pm-6pm,light rain,3 wheeler,>10,collision brush/side swip,weather condition,unknown age,upto 8th std,other improper passsing,30-50,speed breaker,3 Lanes or more without central Divider Median,v junction,flashing signal/blinker,learners licence,male,Teen Hath Naka
Vartak Nagar,near bus stop,12pm-3pm,cloudy,"trucks ,tempos,tracto",<1,overturning,defect in road condition,unknown age,above 10th std,did not give right of way to pedestrian,>70,speed breaker,4 Lanes or more with central divider,v junction,flashing signal/blinker,others,female,Vartak Nagar
Kolshet Road,open area,3am-6am,heavy rain,other motor vehicles,6-8year,rear end collision,weather condition,<5years,9-10std,did not give right of way to pedestrian,>70,muddy/oily/slippery,two lane,junction with >4 arms,stop sign,paid driver,female,Kolshet Road
Panchpakhadi,narrow bridge or culverts,3pm-6pm,fine,other motor vehicles,2-4year,head on collision,neglect of civic bodies,45-54years,upto 8th std,on wrong side of the road,30-50,muddy/oily/slippery,3 Lanes or more without central Divider Median,v junction,uncontolled,without licence,female,Panchpakhadi
